turn 1: 1 insts (1 every), 0 ms
turn 2: 1 insts (1 every), 1 ms
turn 3: 1 insts (1 every), 1 ms
turn 4: 1 insts (1 every), 1 ms
turn 5: 1 insts (1 every), 1 ms
turn 6: 1 insts (1 every), 1 ms
turn 7: 1 insts (1 every), 1 ms
turn 8: 1 insts (1 every), 1 ms
turn 9: 1 insts (1 every), 0 ms
turn 10: 1 insts (1 every), 1 ms
turn 11: 1 insts (1 every), 0 ms
turn 12: 1 insts (1 every), 1 ms
turn 13: 1 insts (1 every), 0 ms
turn 14: 1 insts (1 every), 1 ms
turn 15: 1 insts (1 every), 1 ms
turn 16: 1 insts (1 every), 6221 ms
turn 17: 2 insts (1 every), 4 ms
turn 18: 1 insts (1 every), 1365 ms
turn 19: 1 insts (1 every), 3 ms
turn 20: 1 insts (1 every), 3 ms
turn 21: 1 insts (1 every), 3 ms
turn 22: 1 insts (1 every), 3 ms
turn 23: 1 insts (1 every), 3 ms
turn 24: 1 insts (1 every), 3 ms
turn 25: 1 insts (1 every), 4 ms
turn 26: 1 insts (1 every), 3 ms
turn 27: 1 insts (1 every), 4 ms
turn 28: 1 insts (1 every), 3 ms
turn 29: 1 insts (1 every), 5 ms
turn 30: 1 insts (1 every), 3 ms
turn 31: 1 insts (1 every), 3 ms
turn 32: 1 insts (1 every), 3 ms
turn 33: 1 insts (1 every), 3 ms
turn 34: 1 insts (1 every), 3 ms
turn 35: 1 insts (1 every), 3 ms
turn 36: 1 insts (1 every), 3 ms
turn 37: 1 insts (1 every), 3 ms
turn 38: 1 insts (1 every), 3 ms
turn 39: 1 insts (1 every), 3 ms
turn 40: 1 insts (1 every), 3 ms
turn 41: 1 insts (1 every), 3 ms
turn 42: 1 insts (1 every), 3 ms
turn 43: 1 insts (1 every), 3 ms
turn 44: 1 insts (1 every), 3 ms
turn 45: 1 insts (1 every), 3 ms
turn 46: 1 insts (1 every), 1065 ms
turn 47: 1 insts (1 every), 865 ms
turn 48: 2 insts (1 every), 271 ms
turn 49: 1 insts (1 every), 2717 ms
turn 50: 2 insts (1 every), 4 ms
turn 51: 1 insts (1 every), 5019 ms
turn 52: 2 insts (1 every), 71 ms
turn 53: 1 insts (1 every), 2416 ms
turn 54: 2 insts (1 every), 71 ms
turn 55: 1 insts (1 every), 4619 ms
turn 56: 1 insts (1 every), 4 ms
turn 57: 1 insts (1 every), 3 ms
turn 58: 1 insts (1 every), 3 ms
turn 59: 1 insts (1 every), 3 ms
turn 60: 1 insts (1 every), 3 ms
